run_date,city,platform,campaign_type,sub_metric,D1,LMTD,LM,MTD,MTD_vs_LMTD,PROJECTED,L7D,LL7D
2026-04-09,Delhi NCR,Google,Google - Total,CLICKS,28851,117754,982813,267045,126.8,890150,207140,191708
2026-04-09,Delhi NCR,Google,Google - Total,CPC,2.9,5.32,2.22,2.98,,,3.0,2.93
2026-04-09,Delhi NCR,Meta,Facebook - Catalog,SPEND,75310.46,601023.14,2599555.95,741658.01,23.4,2472193.37,557418.32,656471.35
2026-04-09,Delhi NCR,Meta,Facebook - Catalog,CLICKS,21068,149891,610123,190003,26.8,633343,146088,160586
2026-04-09,Delhi NCR,Meta,Facebook - Catalog,CPC,3.57,4.01,4.26,3.9,,,3.82,4.09
2026-04-09,Delhi NCR,Meta,Facebook - Conversion,SPEND,37774.64,271479.55,997600.2,305802.14,12.6,1019340.47,242283.19,211371.04
2026-04-09,Delhi NCR,Meta,Facebook - Conversion,CLICKS,4337,19516,71516,30316,55.3,101053,23954,19011
2026-04-09,Delhi NCR,Meta,Facebook - Conversion,CPC,8.71,13.91,13.95,10.09,,,10.11,11.12
2026-04-09,Delhi NCR,Meta,Facebook - Total,SPEND,113085.1,872502.69,3597156.15,1047460.15,20.1,3491533.83,799701.51,867842.39
2026-04-09,Delhi NCR,Meta,Facebook - Total,CLICKS,25405,169407,681639,220319,30.1,734396,170042,179597
2026-04-09,Delhi NCR,Meta,Facebook - Total,CPC,4.45,5.15,5.28,4.75,,,4.7,4.83
2026-04-09,Hyderabad,Google,Google - PMAX,SPEND,11934.64,46360.0,259674.79,84652.34,82.6,282174.47,65761.67,72087.62
2026-04-09,Hyderabad,Google,Google - PMAX,CLICKS,6551,25781,168416,92403,258.4,308010,81478,37993
2026-04-09,Hyderabad,Google,Google - PMAX,CPC,1.82,1.8,1.54,0.92,,,0.81,1.9
2026-04-09,Hyderabad,Google,Google - UACi,SPEND,4778.16,34791.63,121186.34,40635.45,16.8,135451.5,31746.62,27673.42
2026-04-09,Hyderabad,Google,Google - UACi,CLICKS,548,3936,14396,4695,19.3,15650,3681,3427
2026-04-09,Hyderabad,Google,Google - UACi,CPC,8.72,8.84,8.42,8.66,,,8.62,8.08
2026-04-09,Hyderabad,Google,Google - UACe,SPEND,2569.36,18100.32,58626.76,37675.8,108.1,125586.0,30168.88,22274.62
2026-04-09,Hyderabad,Google,Google - UACe,CLICKS,551,3098,11286,8713,181.2,29043,7123,4493
2026-04-09,Hyderabad,Google,Google - UACe,CPC,4.66,5.84,5.19,4.32,,,4.24,4.96
2026-04-09,Hyderabad,Google,Google - Search,SPEND,1850.63,11557.92,57747.15,18289.87,58.2,60966.23,13691.26,19971.23
2026-04-09,Hyderabad,Google,Google - Search,CLICKS,674,4555,18957,7204,58.2,24013,5784,5515
2026-04-09,Hyderabad,Google,Google - Search,CPC,2.75,2.54,3.05,2.54,,,2.37,3.62
